Product,Business Location,Unit Purchase Price,Selling Price,Current stock,Product Type,Category,Brand,Tax,SKU
004 Gld Woofer,BEST PRICE SHOP,"KSh 7,400","KSh 7,800",0 pieces,Single,WOOFERS,GLD,,34444
004 Velmax,BEST PRICE SHOP,"KSh 2,800","KSh 3,300",0 pieces,Single,,,,17903
005 Amtec,BEST PRICE SHOP,"KSh 3,400","KSh 3,650",0 pieces,Single,,,,17779
007 Amtec Woofer,BEST PRICE SHOP,"KSh 3,300","KSh 3,550",0 pieces,Single,,,,17671
008 Amtec Woofer,BEST PRICE SHOP,"KSh 2,800","KSh 3,050",0 pieces,Single,,,,17669
011 Amtec,BEST PRICE SHOP,"KSh 2,300","KSh 2,550",0 pieces,Single,,,,17780
011 SmartOpus,BEST PRICE SHOP,"KSh 1,350","KSh 1,550",0 pieces,Single,,,,17366
017 Extension,BEST PRICE SHOP,KSh 0,KSh 130,0 pieces,Single,,,,17862
018 Extension,BEST PRICE SHOP,KSh 0,KSh 150,0 pieces,Single,,,,17863
019 Extesion',BEST PRICE SHOP,KSh 150,KSh 188,0 pieces,Single,,,,17864
026 Solar Chloride,BEST PRICE SHOP,"KSh 3,758","KSh 4,000",2 pieces,Single,SOLAR BATTERIES,CHLORIDE,,17636
026 Solar Powerstart,BEST PRICE SHOP,"KSh 2,994","KSh 3,700",-1 pieces,Single,BATTERYS,CHLORIDE,,17284
026 Solar Spark,BEST PRICE SHOP,"KSh 3,432","KSh 3,600",26 pieces,Single,BATTERYS,CHLORIDE,,27363
026Mf Powerlast,BEST PRICE SHOP,"KSh 3,663","KSh 3,850",8 pieces,Single,BATTERYS,CHLORIDE,,17486
0306 Kettle,BEST PRICE SHOP,KSh 750,KSh 850,65 pieces,Single,KETTLE,AILYONS,,29380
0318 Kettle,BEST PRICE SHOP,"KSh 1,600","KSh 1,700",9 pieces,Single,KETTLE,AILYONS,,29427
035 Spark,BEST PRICE SHOP,"KSh 4,693","KSh 4,900",3 pieces,Single,BATTERYS,CHLORIDE,,18506
045Mf Powerlast,BEST PRICE SHOP,"KSh 5,885","KSh 6,100",7 pieces,Single,BATTERYS,CHLORIDE,,17153
045Mf Spark,BEST PRICE SHOP,"KSh 5,506","KSh 5,700",5 pieces,Single,BATTERYS,CHLORIDE,,17285
045Mf Voltron,BEST PRICE SHOP,"KSh 4,976","KSh 5,200",6 pieces,Single,,,,17487
050 Powerstart Solar,BEST PRICE SHOP,"KSh 4,900","KSh 5,900",1 pieces,Single,BATTERYS,CHLORIDE,,16900
050 Solar Chloride,BEST PRICE SHOP,"KSh 5,478","KSh 5,700",0 pieces,Single,BATTERYS,CHLORIDE,,16899
050 Solar Spark,BEST PRICE SHOP,"KSh 4,950","KSh 5,600",20 pieces,Single,BATTERYS,CHLORIDE,,27362
050Mf Powerlast Solar,BEST PRICE SHOP,"KSh 5,819","KSh 6,100",2 pieces,Single,BATTERYS,CHLORIDE,,17485
075 Powerstart Solar,BEST PRICE SHOP,"KSh 6,795","KSh 7,000",0 pieces,Single,BATTERYS,CHLORIDE,,17286
075 Solar Chloride,BEST PRICE SHOP,"KSh 7,372","KSh 7,600",5 pieces,Single,BATTERYS,CHLORIDE,,17287
075 Solar Spark,BEST PRICE SHOP,"KSh 6,996","KSh 7,200",23 pieces,Single,BATTERYS,CHLORIDE,,30084
075 Sunrays Battery,BEST PRICE SHOP,"KSh 4,000","KSh 4,500",0 pieces,Single,,,,17594
075Mf Solar Powerlast,BEST PRICE SHOP,"KSh 7,924","KSh 8,200",1 pieces,Single,BATTERYS,CHLORIDE,,17110
1 Gang Gz001 Switch,BEST PRICE SHOP,KSh 50,KSh 60,0 pieces,Single,,,,18090
1.5 Metsic Wire,BEST PRICE SHOP,"KSh 2,500","KSh 2,800",48 pieces,Single,,,,17375
1.5 Tronic With Earth,BEST PRICE SHOP,"KSh 6,980","KSh 7,400",1 pieces,Single,,,,17929
1.5 Tronics Single,BEST PRICE SHOP,"KSh 2,320","KSh 2,500",5 pieces,Single,,,,17845
100 Luxus.,BEST PRICE SHOP,KSh 810,KSh 840,1 pieces,Single,FEATURE PHONES,LUXUS,,19186
100 Nokia Refab,BEST PRICE SHOP,KSh 600,KSh 650,0 pieces,Single,,,,18100
100 Smba,BEST PRICE SHOP,KSh 800,KSh 850,0 pieces,Single,FEATURE PHONES,SMBA,,25522
100 Solar Chloride,BEST PRICE SHOP,"KSh 10,765","KSh 11,100",5 pieces,Single,SOLARS,CHLORIDE,,17289
100 Sowhat,BEST PRICE SHOP,KSh 750,KSh 780,0 pieces,Single,FEATURE PHONES,SOWHAT,,24638
100 Tp Tell.,BEST PRICE SHOP,KSh 950,KSh 980,0 pieces,Single,,,,18148
100 Urbest,BEST PRICE SHOP,KSh 950,KSh 980,40 pieces,Single,FEATURE PHONES,URBEST,,25114
100+ Luxus,BEST PRICE SHOP,KSh 820,KSh 860,0 pieces,Single,FEATURE PHONES,LUXUS,,30338
1000 Luxus,BEST PRICE SHOP,KSh 950,KSh 980,12 pieces,Single,FEATURE PHONES,LUXUS,,27714
10000Mah,BEST PRICE SHOP,KSh 350,KSh 500,62 pieces,Single,,,,17047
100M Cable,BEST PRICE SHOP,KSh 0,"KSh 1,400",0 pieces,Single,,,,17412
100Mf Powerlast Solar,BEST PRICE SHOP,"KSh 11,834","KSh 12,100",2 pieces,Single,SOLAR BATTERIES,CHLORIDE,,17484
100Mf Powerstart Solar,BEST PRICE SHOP,"KSh 9,935","KSh 10,300",6 pieces,Single,BATTERYS,CHLORIDE,,17288
100Mf Solar Spark,BEST PRICE SHOP,"KSh 9,350","KSh 11,100",33 pieces,Single,BATTERYS,CHLORIDE,,27361
100W Floodlight Solarmax,BEST PRICE SHOP,"KSh 2,500","KSh 2,800",0 pieces,Single,FLOODLIGHT,SOLARMAX,,24268
100W Solar Street light Led,BEST PRICE SHOP,"KSh 4,500","KSh 5,000",3 pieces,Single,SOLARS,LED,,21760
100W Solarmax,BEST PRICE SHOP,"KSh 3,600","KSh 3,850",0 pieces,Single,SOLARS,SOLARMAX,,16901
100W Solinc Solar,BEST PRICE SHOP,"KSh 3,600","KSh 4,000",0 pieces,Single,SOLARS,CHLORIDE,,19422
100W Sunrays,BEST PRICE SHOP,"KSh 2,500","KSh 3,500",0 pieces,Single,,,,16934
100W Sunypex,BEST PRICE SHOP,"KSh 3,700","KSh 4,000",9 pieces,Single,,,,17676
101 Luxus,BEST PRICE SHOP,KSh 830,KSh 870,45 pieces,Single,FEATURE PHONES,LUXUS,,24208
101 Tp Tell,BEST PRICE SHOP,KSh 700,KSh 840,0 pieces,Single,FEATURE PHONES,TP TELL,,18143
101+ Luxus,BEST PRICE SHOP,KSh 830,KSh 870,8 pieces,Single,FEATURE PHONES,LUXUS,,27712
102 Luxus,BEST PRICE SHOP,KSh 810,KSh 850,7 pieces,Single,FEATURE PHONES,LUXUS,,27709
103 Luxus,BEST PRICE SHOP,KSh 810,KSh 850,36 pieces,Single,FEATURE PHONES,LUXUS,,24209
1031 Ailipu,BEST PRICE SHOP,"KSh 10,745","KSh 10,900",1 pieces,Single,,,,17536
104 Luxus,BEST PRICE SHOP,KSh 830,KSh 860,0 pieces,Single,FEATURE PHONES,LUXUS,,27711
105 Dual 2019.,BEST PRICE SHOP,"KSh 1,450","KSh 1,550",1 pieces,Single,,,,18434
105 Luxus,BEST PRICE SHOP,KSh 820,KSh 850,2 pieces,Single,FEATURE PHONES,LUXUS,,27710
105 Nokia African Edition,BEST PRICE SHOP,"KSh 1,550","KSh 1,600",5 pieces,Single,FEATURE PHONES,NOKIA,,18018
105 Nokia Double,BEST PRICE SHOP,"KSh 1,050","KSh 1,150",6 pieces,Single,FEATURE PHONES,NOKIA,,17009
105 Nokia Refab. Not for selling,BEST PRICE SHOP,KSh 620,KSh 650,1 pieces,Single,,,,18031
105 Oking Phone,BEST PRICE SHOP,KSh 920,KSh 950,0 pieces,Single,,,,17956
105 Single Nokia,BEST PRICE SHOP,"KSh 1,080","KSh 1,150",-1 pieces,Single,,,,18153
105 Sowhat,BEST PRICE SHOP,KSh 800,KSh 830,0 pieces,Single,FEATURE PHONES,SOWHAT,,24639
105 Taishen.,BEST PRICE SHOP,KSh 650,KSh 750,9 pieces,Single,FEATURE PHONES,TAISHEN,,18745
106 Nokia,BEST PRICE SHOP,"KSh 1,030","KSh 1,150",0 pieces,Single,,,,18067
106 Oking.,BEST PRICE SHOP,KSh 800,KSh 830,0 pieces,Single,FEATURE PHONES,OKING,,17957
106 Sowhat,BEST PRICE SHOP,KSh 800,KSh 830,0 pieces,Single,FEATURE PHONES,SOWHAT,,24640
10A {128+4} Redmi.,BEST PRICE SHOP,"KSh 15,580","KSh 15,800",0 pieces,Single,,TAGWOOD,,18211
10A Redmi{32+2} Redmi,BEST PRICE SHOP,"KSh 11,900","KSh 12,100",-1 pieces,Single,,,,18076
10A Redmi{64+3} Redmi,BEST PRICE SHOP,"KSh 13,300","KSh 13,600",0 pieces,Single,,,,18077
10A Solarpex Controller,BEST PRICE SHOP,KSh 450,KSh 600,188 pieces,Single,SOLARS,SOLARPEX,,17452
10Am Controler,BEST PRICE SHOP,KSh 500,KSh 600,-3 pieces,Single,,,,17591
10AMp Chloride,BEST PRICE SHOP,KSh 640,KSh 750,1 pieces,Single,,,,17481
10Amps Solarmax Cont Not for selling,BEST PRICE SHOP,KSh 500,KSh 600,0 pieces,Single,CONTROLERS,SOLARMAX,,16930
10W Solarmax SOLAR,BEST PRICE SHOP,KSh 550,KSh 650,2 pieces,Single,,,,17313
10W Songya,BEST PRICE SHOP,KSh 0,KSh 120,23 pieces,Single,,,,17646
1110 Nokia Refab.,BEST PRICE SHOP,KSh 600,KSh 650,9 pieces,Single,,,,18025
113 Amaya Radio,BEST PRICE SHOP,KSh 0,KSh 500,-3 pieces,Single,,,,17473
113 Max Sowhat,BEST PRICE SHOP,"KSh 5,250","KSh 5,450",3 pieces,Single,FEATURE PHONES,SOWHAT,,24636
114 Max Pro.,BEST PRICE SHOP,"KSh 5,200","KSh 5,400",5 pieces,Single,FEATURE PHONES,SOWHAT,,24444
11Di  Villaontel.,BEST PRICE SHOP,KSh 350,KSh 400,77 pieces,Single,PHONE BATTERIES,VILLAONTEL BATTERY,,18606
11Di Itel No 2,BEST PRICE SHOP,KSh 180,KSh 230,"1,026 pieces",Single,PHONE BATTERIES,ITEL,,21485
11Di Naked Battery,BEST PRICE SHOP,KSh 220,KSh 250,0 pieces,Single,,,,16935
11DI Original Battery,BEST PRICE SHOP,KSh 230,KSh 300,8 pieces,Single,,,,17352
11Di Premium,BEST PRICE SHOP,KSh 240,KSh 280,180 pieces,Single,PHONE BATTERIES,,,29401
11Di Super Energy,BEST PRICE SHOP,KSh 280,KSh 400,83 pieces,Single,PHONE BATTERIES,SUPERENERGY,,22521
1200 Nokia Refab,BEST PRICE SHOP,KSh 600,KSh 650,3 pieces,Single,,,,18101
12000MAH Galactic Powerbank,BEST PRICE SHOP,KSh 900,"KSh 1,000",50 pieces,Single,POWERBANKS,GALACTIC,,29400
1200Mah Venus,BEST PRICE SHOP,KSh 650,KSh 700,0 pieces,Single,,,,18209
1202 Nokia Refab.,BEST PRICE SHOP,KSh 600,KSh 650,3 pieces,Single,,,,18026
120W Solarmax Solar,BEST PRICE SHOP,"KSh 4,320","KSh 4,570",1 pieces,Single,SOLARS,SOLARMAX,,17547
120W solic SOLAR,BEST PRICE SHOP,"KSh 4,800","KSh 5,160",0 pieces,Single,SOLARS,CHLORIDE,,17186
120W Sunypex,BEST PRICE SHOP,"KSh 4,440","KSh 4,800",1 pieces,Single,SOLARS,SOLARPEX,,17674
120Watts Street Light Jin Wu,BEST PRICE SHOP,"KSh 4,600","KSh 5,000",11 pieces,Single,SOLARS,,,21476
123 Oking.,BEST PRICE SHOP,KSh 750,KSh 780,1 pieces,Single,,,,18546
124 Oking.,BEST PRICE SHOP,KSh 750,KSh 780,0 pieces,Single,,,,18547
125 Nokia,BEST PRICE SHOP,KSh 950,"KSh 1,100",54 pieces,Single,,,,18684
125 Oking,BEST PRICE SHOP,KSh 800,KSh 830,0 pieces,Single,,,,18353
125 Urbest,BEST PRICE SHOP,"KSh 1,100","KSh 1,150",0 pieces,Single,FEATURE PHONES,,,25113
1280 Nokia Refab.,BEST PRICE SHOP,KSh 700,KSh 750,0 pieces,Single,,,,18027
1280 Taishen.,BEST PRICE SHOP,KSh 650,KSh 680,0 pieces,Single,FEATURE PHONES,TAISHEN,,18744
128Gb Flash Advance,BEST PRICE SHOP,"KSh 1,100","KSh 1,200",49 pieces,Single,SMART PHONES,ADVANCE,,27729
128Gb Flash Calus,BEST PRICE SHOP,KSh 540,KSh 590,24 pieces,Single,FLASH,CALUS,,18516
128Gb Flash Galactic,BEST PRICE SHOP,KSh 900,"KSh 1,100",25 pieces,Single,FLASH,GALACTIC,,29395
128Gb Mem Galactic,BEST PRICE SHOP,"KSh 1,000","KSh 1,200",6 pieces,Single,MEMORY,GALACTIC,,18418
128Gb Toshiba Flash,BEST PRICE SHOP,"KSh 1,200","KSh 1,300",9 pieces,Single,FLASH,,,18122
128Gb Vicom Flash,BEST PRICE SHOP,"KSh 1,200","KSh 1,300",0 pieces,Single,FLASH,,,17641
12W Lyons Bulb,BEST PRICE SHOP,KSh 95,KSh 100,0 pieces,Single,,,,17707
12W Sundabest Bulb.,BEST PRICE SHOP,KSh 65,KSh 70,824 pieces,Single,BULBS,SUNDABEST,,18036
14 Pro Max Taishen,BEST PRICE SHOP,"KSh 4,700","KSh 4,900",13 pieces,Single,FEATURE PHONES,TAISHEN,,22318
150 Nokia,BEST PRICE SHOP,"KSh 1,000","KSh 1,150",142 pieces,Single,,,,18683
15000Ma PowerBank Whitelion,BEST PRICE SHOP,KSh 650,KSh 950,0 pieces,Single,,,,17030
15000MAH Galactic PowerBank,BEST PRICE SHOP,"KSh 1,400","KSh 1,500",24 pieces,Single,POWERBANKS,GALACTIC,,29399
150V Solarpex Invertor,BEST PRICE SHOP,KSh 750,KSh 850,0 pieces,Single,,,,17103
150Va Solarmax Juakali Invertor.,BEST PRICE SHOP,KSh 750,KSh 850,18 pieces,Single,SOLARS,SOLARMAX,,17214
150W Solarmax Solar,BEST PRICE SHOP,"KSh 5,550","KSh 6,200",0 pieces,Single,,,,17548
150W Sunypex,BEST PRICE SHOP,"KSh 5,550","KSh 6,000",1 pieces,Single,SOLARS,SOLARPEX,,17905
15Bi Naked Battety,BEST PRICE SHOP,KSh 230,KSh 280,24 pieces,Single,,,,17856
15Bi Original Battery,BEST PRICE SHOP,KSh 270,KSh 330,0 pieces,Single,,,,17353
15Bi Safari Battery,BEST PRICE SHOP,KSh 0,KSh 380,0 pieces,Single,,,,16941
15Bi Super Energy,BEST PRICE SHOP,KSh 280,KSh 400,163 pieces,Single,PHONE BATTERIES,SUPERENERGY,,22522
15Bi Villaontel Battery,BEST PRICE SHOP,KSh 350,KSh 400,20 Pieces,Single,PHONE BATTERIES,VILLAONTEL BATTERY,,19065
15Dt Super Energy,BEST PRICE SHOP,KSh 0,KSh 450,-1 pieces,Single,,,,17790
15Et Naked Battery,BEST PRICE SHOP,KSh 250,KSh 300,7 pieces,Single,,,,17858
15Fi Naked Battery,BEST PRICE SHOP,KSh 220,KSh 280,3 pieces,Single,,,,17857
15ft Naked Battery,BEST PRICE SHOP,KSh 0,KSh 300,0 pieces,Single,,,,17165
15W Ledon Bulb,BEST PRICE SHOP,KSh 70,KSh 90,0 pieces,Single,,,,17986
15W Songya,BEST PRICE SHOP,KSh 0,KSh 90,-1 pieces,Single,,,,17521
15W Sundabest Bulb.,BEST PRICE SHOP,KSh 91,KSh 110,51 pieces,Single,,,,18037
15Way Extension,BEST PRICE SHOP,KSh 260,KSh 280,0 pieces,Single,,,,17660
1600 Nokia Refab.,BEST PRICE SHOP,KSh 600,KSh 650,18 pieces,Single,,,,18029
1616 Nokia Refab.,BEST PRICE SHOP,KSh 600,KSh 650,17 pieces,Single,,,,18030
1631 Wall Fan Ailyons,BEST PRICE SHOP,"KSh 1,750","KSh 1,900",27 pieces,Single,,,,18619
1650 Nokia Refab,BEST PRICE SHOP,KSh 600,KSh 650,1 pieces,Single,,,,18286
1681,BEST PRICE SHOP,KSh 620,KSh 650,0 pieces,Single,,,,18032
16Gb Amaya Mem,BEST PRICE SHOP,KSh 0,KSh 300,0 pieces,Single,,,,17386
16Gb Flash Advance,BEST PRICE SHOP,KSh 320,KSh 370,0 pieces,Single,,,,17498
16Gb Flash Boost,BEST PRICE SHOP,KSh 320,KSh 370,-3 pieces,Single,,,,17299
16GB Flash Calus,BEST PRICE SHOP,KSh 230,KSh 280,0 pieces,Single,FLASH,CALUS,,20537
16Gb Flash Hp,BEST PRICE SHOP,KSh 320,KSh 350,24 pieces,Single,FLASH,HP,,27732
16Gb Mem Aacend,BEST PRICE SHOP,KSh 0,KSh 370,0 pieces,Single,,,,17271
16Gb Mem B/V/A Not for selling,BEST PRICE SHOP,KSh 320,KSh 350,0 pieces,Single,,,,18315
16Gb Mem Boost,BEST PRICE SHOP,KSh 320,KSh 370,41 pieces,Single,MEMORY,BOOST,,27960
16Gb Mem Galactic,BEST PRICE SHOP,KSh 360,KSh 410,159 pieces,Single,MEMORY,GALACTIC,,17583
16Gb Mem Sandisk.,BEST PRICE SHOP,KSh 400,KSh 400,0 pieces,Single,,,,18233
16Gb Otg Advance,BEST PRICE SHOP,KSh 400,KSh 450,0 pieces,Single,,,,17807
16Gb Otg Sandisk,BEST PRICE SHOP,KSh 0,KSh 600,0 pieces,Single,,,,17495
16Gb Strontium Mem,BEST PRICE SHOP,KSh 280,KSh 350,0 pieces,Single,,,,17927
16Gb Toshiba Flash.,BEST PRICE SHOP,KSh 330,KSh 380,0 pieces,Single,,,,17924
16Gb Vicom Flash,BEST PRICE SHOP,KSh 320,KSh 380,0 pieces,Single,,,,17502
17 Ailipu.,BEST PRICE SHOP,"KSh 4,100","KSh 5,000",1 pieces,Single,,,,18044
17 Amtec,BEST PRICE SHOP,"KSh 4,600","KSh 5,000",4 pieces,Single,,,,17835
17 Ctc Television,BEST PRICE SHOP,"KSh 4,700","KSh 4,950",1 pieces,Single,,,,17954
17 Solarmax,BEST PRICE SHOP,"KSh 3,800","KSh 4,300",6 pieces,Single,,,,17743
1710 Oking,BEST PRICE SHOP,KSh 760,KSh 800,2 pieces,Single,,,,17748
1711 Oking,BEST PRICE SHOP,KSh 800,KSh 830,0 pieces,Single,,,,17749
1712 Oking,BEST PRICE SHOP,KSh 760,KSh 800,0 pieces,Single,,,,17755
1713 Oking,BEST PRICE SHOP,KSh 760,KSh 800,0 pieces,Single,,,,17751
1714 Oking,BEST PRICE SHOP,KSh 800,KSh 830,0 pieces,Single,,,,17752
1731 Blender Ailyons,BEST PRICE SHOP,"KSh 1,500","KSh 1,800",18 pieces,Single,BLENDERS,AILYONS,,19216
17Cr Television,BEST PRICE SHOP,"KSh 3,700","KSh 5,000",1 pieces,Single,,,,17389
17K {64+3} Oppo.,BEST PRICE SHOP,"KSh 14,600","KSh 15,000",0 pieces,Single,,,,18550
18W Sundabest Bulb.,BEST PRICE SHOP,KSh 115,KSh 130,12 pieces,Single,,,,18038
19 Amtec,BEST PRICE SHOP,"KSh 5,500","KSh 5,900",1 pieces,Single,,,,17778
19 CR Television,BEST PRICE SHOP,"KSh 3,700","KSh 4,500",0 pieces,Single,,,,17538
19 Ctc Television.,BEST PRICE SHOP,"KSh 5,500","KSh 5,900",3 pieces,Single,TELEVISION,CTC,,17469
19 Itel Television.,BEST PRICE SHOP,"KSh 5,400","KSh 6,000",-1 pieces,Single,TELEVISION,ITEL,,18749
19 Jsv Television.,BEST PRICE SHOP,"KSh 4,600","KSh 5,400",0 pieces,Single,,,,18006
19 Solarmax,BEST PRICE SHOP,"KSh 3,800","KSh 4,100",0 pieces,Single,,,,17053
19 Vitrone,BEST PRICE SHOP,"KSh 4,500","KSh 4,800",0 pieces,Single,,,,17560
1901 Joc,BEST PRICE SHOP,KSh 380,"KSh 1,450",24 pieces,Single,,,,17662
1gb Flash Sandisk,BEST PRICE SHOP,KSh 0,KSh 260,0 pieces,Single,,,,18111
1Tb Harddisk Toshiba,BEST PRICE SHOP,"KSh 4,700","KSh 5,500",7 pieces,Single,,,,17649
2 Gang Gz003,BEST PRICE SHOP,KSh 66,KSh 80,0 pieces,Single,,,,18091
2.5 Metsic Wire,BEST PRICE SHOP,"KSh 4,100","KSh 4,400",58 pieces,Single,,,,17101
200 Smba,BEST PRICE SHOP,KSh 800,KSh 850,3 pieces,Single,FEATURE PHONES,SMBA,,22271
200 Tp Tell,BEST PRICE SHOP,KSh 950,KSh 980,0 pieces,Single,,,,18149
200 Urbest,BEST PRICE SHOP,KSh 950,KSh 980,31 pieces,Single,FEATURE PHONES,URBEST,,25115
20000 PowerBank Galactic,BEST PRICE SHOP,"KSh 1,900","KSh 2,100",0 pieces,Single,,,,18194
20000Mah Itel PowerBank,BEST PRICE SHOP,"KSh 2,070","KSh 2,300",17 pieces,Single,,ITEL,,24626
200V Battery Solarpex,BEST PRICE SHOP,"KSh 24,000","KSh 26,000",0 pieces,Single,,,,17454
200VA Solarpex Invertor,BEST PRICE SHOP,KSh 750,KSh 850,15 pieces,Single,INVERTORS,SOLARPEX,,30421
200W Lyons Solar,BEST PRICE SHOP,"KSh 6,000","KSh 9,000",0 pieces,Single,,,,17963
200W Solarpex Invertor,BEST PRICE SHOP,KSh 800,KSh 900,0 pieces,Single,,,,16933
200W Solarpex Solar,BEST PRICE SHOP,"KSh 7,200","KSh 7,800",0 pieces,Single,,,,17868
200W Sunypex,BEST PRICE SHOP,"KSh 7,800","KSh 8,800",0 pieces,Single,,,,17200
201 Tp Tell,BEST PRICE SHOP,KSh 820,KSh 850,12 pieces,Single,,,,18142
206 Bontale.,BEST PRICE SHOP,KSh 900,KSh 930,0 pieces,Single,,,,18709
20A Solarmax Controler,BEST PRICE SHOP,KSh 780,KSh 900,1 pieces,Single,CONTROLERS,SOLARMAX,,17562
20A Solarpex Controler,BEST PRICE SHOP,KSh 800,KSh 900,2 pieces,Single,CONTROLERS,SOLARPEX,,17453
20Amps Chloride Controler,BEST PRICE SHOP,KSh 720,KSh 800,0 pieces,Single,CONTROLERS,CHLORIDE,,17482
20Jt Naked Battery,BEST PRICE SHOP,KSh 240,KSh 280,0 pieces,Single,,,,17065
20Jt Original Battery,BEST PRICE SHOP,KSh 240,KSh 280,0 pieces,Single,,,,17196
20Jt Super Energy,BEST PRICE SHOP,KSh 280,KSh 400,-7 pieces,Single,PHONE BATTERIES,SUPERENERGY,,18331
20Jt Villaontel.,BEST PRICE SHOP,KSh 350,KSh 380,0 pieces,Single,,,,18607
20L Acid,BEST PRICE SHOP,"KSh 1,225","KSh 1,400",6 pieces,Single,BATTERYS,CHLORIDE,,16897
20W DpLight Reachageable.,BEST PRICE SHOP,KSh 190,KSh 240,25 pieces,Single,RECHARGEABLE LIGHTS,DP,,17965
20W Solarmax Solarmax,BEST PRICE SHOP,KSh 850,KSh 950,0 pieces,Single,,,,17314
215 Nokia,BEST PRICE SHOP,KSh 0,"KSh 3,000",3 pieces,Single,,,,17396
2160 Atel.,BEST PRICE SHOP,"KSh 1,000","KSh 1,050",2 pieces,Single,FEATURE PHONES,ATEL,,18379
2160 H Mobile,BEST PRICE SHOP,KSh 850,KSh 880,1 pieces,Single,FEATURE PHONES,H MOBILE,,18034
2160 Itel Copy.,BEST PRICE SHOP,KSh 660,KSh 700,0 pieces,Single,FEATURE PHONES,ITEL COPY,,17606
2160 Itel Original,BEST PRICE SHOP,"KSh 1,250","KSh 1,450",0 pieces,Single,FEATURE PHONES,ITEL,,23056
2160 Itel Original.,BEST PRICE SHOP,"KSh 1,150","KSh 1,200",11 pieces,Single,FEATURE PHONES,ITEL,,16880
2160 Itfly,BEST PRICE SHOP,KSh 900,KSh 930,-3 pieces,Single,,,,17759
2160 Oking.,BEST PRICE SHOP,KSh 750,KSh 780,0 pieces,Single,,,,18548
2160 Taishen,BEST PRICE SHOP,KSh 780,KSh 810,0 pieces,Single,,,,18294
2160N Momofly,BEST PRICE SHOP,KSh 780,KSh 810,0 pieces,Single,,,,18344
2163 Atel.,BEST PRICE SHOP,KSh 850,KSh 880,30 pieces,Single,FEATURE PHONES,ATEL,,18380
2163 Copy.,BEST PRICE SHOP,KSh 660,KSh 700,27 pieces,Single,FEATURE PHONES,ITEL COPY,,17455
2163 H Mobile.,BEST PRICE SHOP,KSh 800,KSh 830,0 pieces,Single,,,,18495
2163 Itel Original,BEST PRICE SHOP,KSh 950,"KSh 1,000",109 pieces,Single,FEATURE PHONES,ITEL,,16907
2163 Itel Original,CARLCARE,"KSh 1,100","KSh 1,300",3 pieces,Single,FEATURE PHONES,ITEL,,23057
2163 Taishen,BEST PRICE SHOP,KSh 750,KSh 780,0 pieces,Single,,,,18274
2166 Itel,BEST PRICE SHOP,"KSh 1,180","KSh 1,250",750 pieces,Single,FEATURE PHONES,ITEL,,21956
2171 H Mobile,BEST PRICE SHOP,KSh 850,KSh 880,46 pieces,Single,,,,18393
2171 Itfly,BEST PRICE SHOP,KSh 870,KSh 900,0 pieces,Single,,,,17765
2172 Itfly,BEST PRICE SHOP,KSh 870,KSh 900,0 pieces,Single,,,,17762
2173 Copy,BEST PRICE SHOP,KSh 685,KSh 730,0 pieces,Single,,,,17792
2173 H Mobile,BEST PRICE SHOP,KSh 850,KSh 880,10 pieces,Single,FEATURE PHONES,H MOBILE,,18392
2173 Itel.,BEST PRICE SHOP,"KSh 1,270","KSh 1,300",0 pieces,Single,FEATURE PHONES,ITEL,,17039
2173 Itfly,BEST PRICE SHOP,KSh 900,KSh 930,11 pieces,Single,,,,17768
2173 Tp Tell,BEST PRICE SHOP,KSh 850,KSh 850,-4 pieces,Single,,,,18140
2175 H Mobile,BEST PRICE SHOP,KSh 850,KSh 880,15 pieces,Single,FEATURE PHONES,H MOBILE,,18390
2175 Tp Tell.,BEST PRICE SHOP,KSh 700,KSh 840,36 pieces,Single,FEATURE PHONES,TP TELL,,18141
2176 Itel,BEST PRICE SHOP,"KSh 1,350","KSh 1,410",83 pieces,Single,FEATURE PHONES,ITEL,,25163
2180C,BEST PRICE SHOP,KSh 0,KSh 700,13 pieces,Single,,,,17616
2190 H Mobile.,BEST PRICE SHOP,KSh 850,KSh 880,3 pieces,Single,FEATURE PHONES,H MOBILE,,18395
2192  Tp Tell,BEST PRICE SHOP,KSh 820,KSh 850,-36 pieces,Single,,,,18145
21Ci SuperEnergy,BEST PRICE SHOP,KSh 0,KSh 450,-22 pieces,Single,,,,16981
22 Ctc Televesion.,BEST PRICE SHOP,"KSh 6,150","KSh 6,500",0 pieces,Single,,,,16942
22 Itel Tv,BEST PRICE SHOP,"KSh 5,500","KSh 5,900",0 pieces,Single,TELEVISION,ITEL,,18654
22 Polar,BEST PRICE SHOP,KSh 0,"KSh 4,900",1 pieces,Single,,,,16928
22 Royal,BEST PRICE SHOP,"KSh 5,000","KSh 5,300",0 pieces,Single,,,,17311
220 Nokia,BEST PRICE SHOP,KSh 0,"KSh 3,000",8 pieces,Single,,,,17397
225 Nokia,BEST PRICE SHOP,KSh 0,"KSh 3,000",3 pieces,Single,,,,17395
2284 Ailipu,BEST PRICE SHOP,"KSh 3,487","KSh 3,500",1 pieces,Single,,,,17522
2290 Ailipu Woofer,BEST PRICE SHOP,"KSh 3,325","KSh 3,650",0 pieces,Single,,,,17950
23 Ctc,BEST PRICE SHOP,"KSh 6,500","KSh 6,800",6 pieces,Single,,,,17310
230 Bontale,BEST PRICE SHOP,"KSh 1,150","KSh 1,250",4 pieces,Single,,,,35036
230 Oking,BEST PRICE SHOP,KSh 760,KSh 800,10 pieces,Single,,,,18491
